household_ID,room_ID,ac_ID,type_of_the_ac,is_the_ac_inverter_or_not,is_room_fully_sealed,wattage_of_the_ac,btu_of_the_ac,no_of_hours_ac_was_on_during_daytime_last_week,no_of_hours_ac_was_on_during_night_last_week
ID0558,I_2,I_2_AC_1,3,1,1,0.0,999,0.0,56.0
ID0558,I_3,I_3_AC_1,3,1,1,0.0,999,3.0,63.0
ID0568,I_2,I_2_AC_1,1,2,2,0.0,999,0.0,0.0
ID0571,I_2,I_2_AC_1,1,1,1,0.0,1000,0.0,7.0
ID0571,I_4,I_4_AC_1,1,1,1,12.0,1000,0.0,1.5
ID0576,I_2,I_2_AC_1,4,2,1,0.0,1000,0.0,0.0
ID0580,I_4,I_4_AC_1,3,1,1,0.0,999,0.0,0.99
ID0600,I_4,I_4_AC_1,4,1,1,1020.0,1000,0.0,49.0
ID0600,I_5,I_5_AC_1,4,1,1,1020.0,1000,0.0,49.0
ID0600,I_6,I_6_AC_1,4,1,1,1020.0,1000,0.0,49.0
ID0610,I_2,I_2_AC_1,1,1,1,0.0,999,0.0,0.0
ID0611,I_3,I_3_AC_1,4,2,1,1.0,999,0.0,0.0
ID0611,I_6,I_6_AC_1,4,2,1,0.0,999,0.0,0.0
ID0613,I_3,I_3_AC_1,1,1,1,0.0,999,0.0,5.0
ID0618,I_2,I_2_AC_1,4,1,1,0.0,9000,0.0,0.0
ID0630,I_3,I_3_AC_1,4,1,1,12.0,12000,0.0,21.0
ID0630,I_4,I_4_AC_1,4,1,1,12.0,12000,7.0,0.0
ID0632,I_2,I_2_AC_1,4,1,2,0.0,999,42.0,98.0
ID0661,I_3,I_3_AC_1,4,1,1,0.0,999,0.0,0.0
ID0671,I_12,I_12_AC_1,3,1,1,0.0,999,0.0,24.0
ID0671,I_13,I_13_AC_1,3,1,1,0.0,999,0.0,24.0
ID0686,I_2,I_2_AC_1,3,1,2,0.0,999,0.0,0.0
ID0686,I_3,I_3_AC_1,3,1,1,0.0,999,0.0,0.0
ID0686,I_4,I_4_AC_1,3,1,1,0.0,999,0.0,0.0
ID0693,I_3,I_3_AC_1,1,1,1,18.0,3000,14.0,14.0
ID0694,I_1,I_1_AC_1,6,2,3,12.0,1000,0.0,7.0
ID0694,I_2,I_2_AC_1,1,1,1,12.0,1000,0.0,7.0
ID0698,I_4,I_4_AC_1,4,2,2,0.0,999,0.0,0.0
ID0698,I_5,I_5_AC_1,4,2,2,0.0,999,0.0,0.0
ID0698,I_6,I_6_AC_1,4,2,2,0.0,999,0.0,0.0
ID0698,I_7,I_7_AC_1,4,2,2,0.0,999,0.0,0.0
ID0709,I_3,I_3_AC_1,1,1,1,2.0,12000,2.0,2.0
ID0713,I_2,I_2_AC_1,4,1,1,0.0,999,14.0,62.0
ID0731,I_3,I_3_AC_1,6,1,1,0.0,999,0.0,0.0
ID0731,I_4,I_4_AC_1,6,1,1,0.0,999,0.0,0.0
ID0733,I_4,I_4_AC_1,3,2,1,0.0,12000,7.0,84.0
ID0741,I_2,I_2_AC_1,1,1,1,18.0,999,0.0,70.0
ID0741,I_3,I_3_AC_1,1,1,1,0.0,999,0.0,70.0
ID0741,I_5,I_5_AC_1,1,1,1,18.0,999,0.0,0.0
ID0744,I_4,I_4_AC_1,3,2,1,0.0,999,0.0,1.0
ID0746,I_5,I_5_AC_1,6,2,3,12.0,1000,1.0,1.0
ID0751,I_4,I_4_AC_1,1,1,1,0.0,12000,21.0,28.0
ID0757,I_3,I_3_AC_1,4,2,1,0.0,999,0.0,0.0
ID0761,I_5,I_5_AC_1,3,1,1,0.0,12000,0.0,65.0
ID0769,I_5,I_5_AC_1,1,2,1,0.0,12000,0.0,7.0
ID0772,I_3,I_3_AC_1,3,1,1,0.0,1600,0.0,42.0
ID0772,I_4,I_4_AC_1,3,1,1,0.0,1600,0.0,0.0
ID0774,I_3,I_3_AC_1,3,1,2,0.0,999,0.0,8.0
ID0775,I_4,I_4_AC_1,3,1,1,20.0,2200,0.0,30.0
ID0775,I_5,I_5_AC_1,3,1,1,12.0,2200,0.0,35.0
ID0779,I_3,I_3_AC_1,3,1,1,0.0,999,0.0,3.5
ID0796,I_2,I_2_AC_1,3,1,1,12000.0,12000,0.0,0.0
ID0797,I_2,I_2_AC_1,4,1,1,0.0,999,0.0,0.0
ID0797,I_3,I_3_AC_1,4,1,1,0.0,999,0.0,0.0
ID0798,I_2,I_2_AC_1,4,1,1,0.0,999,0.0,2.05
ID0798,I_3,I_3_AC_1,4,1,1,0.0,999,0.0,14.0
ID0800,I_3,I_3_AC_1,3,2,2,0.0,1000,0.0,0.0
ID0803,I_5,I_5_AC_1,1,1,1,0.0,1000,0.0,0.0
ID0803,I_6,I_6_AC_1,1,2,1,12.0,1000,0.0,0.0
ID0806,I_2,I_2_AC_1,2,1,1,0.0,999,0.0,0.0
ID0806,I_4,I_4_AC_1,1,1,1,0.0,999,0.0,0.0
ID0806,I_5,I_5_AC_1,1,1,1,0.0,999,0.0,0.0
ID0810,I_1,I_1_AC_1,4,1,1,0.0,999,0.0,0.0
ID0810,I_2,I_2_AC_1,4,1,1,0.0,999,0.0,0.0
ID0814,I_2,I_2_AC_1,3,1,1,0.0,999,0.0,0.0
ID0823,I_2,I_2_AC_1,4,1,1,0.0,9000,0.0,0.0
ID0833,I_2,I_2_AC_1,3,2,1,0.0,18000,0.0,0.0
ID0833,I_2,I_2_AC_2,3,2,1,0.0,18000,0.0,0.0
ID0833,I_3,I_3_AC_1,3,2,1,0.0,10000,0.0,0.0
ID0833,I_5,I_5_AC_1,3,2,1,0.0,10000,0.0,35.0
ID0833,I_6,I_6_AC_1,3,2,1,0.0,10000,0.0,0.0
ID0833,I_7,I_7_AC_1,3,2,1,0.0,10000,0.0,0.0
ID0833,I_Oth_1,I_Oth_1_AC_1,3,2,1,0.0,8000,0.0,0.0
ID0834,I_4,I_4_AC_1,3,1,1,0.0,1000,0.0,0.0
ID0834,I_6,I_6_AC_1,3,2,1,0.0,1000,0.0,0.0
ID0840,I_7,I_7_AC_1,3,1,2,0.0,999,0.0,60.0
ID0841,I_3,I_3_AC_1,3,1,1,0.0,12000,0.0,0.0
ID0841,I_4,I_4_AC_1,3,1,1,0.0,12000,0.0,0.0
ID0841,I_6,I_6_AC_1,3,1,1,0.0,12000,0.0,28.0
ID0841,I_7,I_7_AC_1,3,1,1,0.0,12000,0.0,35.0
ID0841,I_8,I_8_AC_1,3,1,1,0.0,12000,0.0,5.0
ID0846,I_1,I_1_AC_1,1,2,1,0.0,999,0.0,0.0
ID0846,I_3,I_3_AC_1,1,2,1,0.0,999,0.0,0.0
ID0846,I_4,I_4_AC_1,1,2,1,0.0,999,0.0,0.0
ID0846,I_5,I_5_AC_1,1,2,1,0.0,999,0.0,0.0
ID0846,I_6,I_6_AC_1,1,2,1,0.0,999,0.0,0.0
ID0846,I_7,I_7_AC_1,1,2,1,0.0,999,0.0,0.0
ID0864,I_3,I_3_AC_1,3,2,1,200.0,12000,0.0,21.0
ID0879,I_2,I_2_AC_1,4,1,1,0.0,1800,0.0,49.0
ID0887,I_8,I_8_AC_1,1,1,1,0.0,999,0.0,0.0
ID0897,I_2,I_2_AC_1,4,2,1,0.0,9000,7.0,72.0
ID0897,I_3,I_3_AC_1,4,2,1,0.0,9000,7.0,98.0
ID0897,I_4,I_4_AC_1,4,2,1,0.0,24000,7.0,48.0
ID0899,I_6,I_6_AC_1,3,1,1,0.0,12000,0.0,14.0
ID0899,I_7,I_7_AC_1,3,1,1,0.0,12000,0.0,14.0
ID0907,I_2,I_2_AC_1,4,2,1,0.0,12000,2.0,28.0
ID0908,I_4,I_4_AC_1,3,1,1,0.0,999,0.0,7.0
ID0908,I_6,I_6_AC_1,3,1,1,0.0,999,0.0,14.0
ID0931,I_2,I_2_AC_1,3,1,1,12.0,999,0.0,7.0
ID0932,I_2,I_2_AC_1,4,1,1,0.0,999,0.0,0.0
ID0938,I_4,I_4_AC_1,3,1,2,650.0,12000,0.0,49.0
ID0954,I_2,I_2_AC_1,1,1,1,0.0,999,0.0,21.0
ID0957,I_2,I_2_AC_1,1,1,1,0.0,999,0.0,5.0
ID0957,I_3,I_3_AC_1,1,1,1,0.0,999,0.0,0.0
ID0965,I_2,I_2_AC_1,1,1,1,0.0,999,0.0,0.0
ID0965,I_3,I_3_AC_1,1,1,1,0.0,999,0.0,0.0
ID0965,I_4,I_4_AC_1,1,1,1,0.0,1000,0.0,0.0
ID0980,I_3,I_3_AC_1,3,1,1,0.0,999,0.0,35.0
ID0983,I_1,I_1_AC_1,3,2,3,0.0,18000,0.0,0.25
ID0983,I_2,I_2_AC_1,3,2,1,0.0,12000,0.0,42.0
ID0983,I_3,I_3_AC_1,3,1,1,0.0,12000,4.0,35.0
ID0983,I_4,I_4_AC_1,3,2,1,0.0,9000,0.0,0.0
ID0986,I_5,I_5_AC_1,3,1,1,0.0,12000,21.0,49.0
ID0986,I_6,I_6_AC_1,3,1,1,0.0,12000,0.0,0.0
ID0987,I_2,I_2_AC_1,3,1,1,1890.0,18000,2.0,70.0
ID0987,I_3,I_3_AC_1,3,1,1,1890.0,18000,7.0,14.0
ID1009,I_2,I_2_AC_1,3,2,2,0.0,999,0.0,0.0
ID1009,I_3,I_3_AC_1,3,1,2,0.0,999,0.0,0.0
ID1028,I_3,I_3_AC_1,4,1,1,900.0,12000,0.33,0.0
ID1028,I_4,I_4_AC_1,4,1,1,900.0,12000,0.0,0.0
ID1044,I_1,I_1_AC_1,3,2,1,0.0,999,0.0,14.0
ID1044,I_2,I_2_AC_1,3,2,1,0.0,999,0.0,70.0
ID1048,I_2,I_2_AC_1,1,1,1,0.0,1000,0.0,0.0
ID1051,I_3,I_3_AC_1,4,2,1,0.0,12000,0.0,21.0
ID1051,I_4,I_4_AC_1,3,2,1,0.0,9000,0.0,0.0
ID1054,I_2,I_2_AC_1,3,1,1,12.0,8000,0.0,0.0
ID1054,I_3,I_3_AC_1,3,2,1,20.0,8000,0.0,3.0
ID1054,I_4,I_4_AC_1,3,1,1,12.0,8000,0.0,1.0
ID1054,I_5,I_5_AC_1,3,1,1,12.0,8000,0.0,0.0
ID1078,I_2,I_2_AC_1,3,1,2,938.0,999,0.0,7.0
ID1084,I_3,I_3_AC_1,3,1,1,0.0,999,0.0,0.0
ID1094,I_2,I_2_AC_1,3,1,2,0.0,12000,0.0,0.0
ID1094,I_3,I_3_AC_1,3,1,2,0.0,9000,0.0,0.0
ID1101,I_2,I_2_AC_1,1,1,1,21.0,999,0.0,21.0
ID1101,I_3,I_3_AC_1,1,1,2,0.0,999,0.0,0.0
ID1112,I_2,I_2_AC_1,2,1,1,9000.0,9000,14.0,0.0
ID1112,I_3,I_3_AC_1,1,2,1,0.0,9000,0.0,0.0
ID1112,I_4,I_4_AC_1,2,2,1,0.0,9000,0.0,0.0
